COURSE_CODE	COURSE_TITLE	SECTION_ID	ACAD_DEPT	PROC_DEPT	TERM1	TERM2	TERM3	TERM4	START_DATE	END_DATE	NUM_OF_PARTICIPANTS	WEEKLY_HOURS	YEAR	SEARCH_ID1	SEARCH_ID2	SEARCH_ID3	INSTR1	INSTR2	INSTR3	INSTR4	INSTR5	INSTR6	INSTR7	INSTR8	INTSR9	INSTR10	ALL_INSTRUCTORS	OPERATION	OLD_COURSE_CODE	OLD_COURSE_SECTION
AAS150-Q-04178-1-20231	20231 - AAS150-Q - Introduction to Africana Studies (Spring 2023)	AAS150-Q-04178-1-20231		UOML					01/01/2000	01/01/2100																	c23835044			
AAS150-Y-01035-5W2-20235	20235 - AAS150-Y & Y1 - MERGED Introduction to Africana Studies (Summer 2023)	AAS150-Y-01035-5W2-20235		UOML					01/01/2000	01/01/2100																	dcieonline.coursemaster,c23835044,c12198919			
AAS150-Y1-01086-5W2-20235	20235 - AAS150-Y1 - Introduction to Africana Studies (Summer 2023)	AAS150-Y1-01086-5W2-20235		UOML					01/01/2000	01/01/2100																	dcieonline.coursemaster,c12198919			
AAS150-Y1-13020-1-20231	20231 - AAS150-Y1 - Introduction to Africana Studies (Spring 2023)	AAS150-Y1-13020-1-20231		UOML					01/01/2000	01/01/2100																	dcieonline.coursemaster,c00375845			
AAS150-Y-13019-1-20231	20231 - AAS150-Y - MERGED Introduction to Africana Studies (Spring 2023)	AAS150-Y-13019-1-20231		UOML					01/01/2000	01/01/2100																	c00375845,dcieonline.coursemaster			
AAS290-QES-11920-1-20231	20231 - AAS290-QES - Special Topics (Spring 2023)	AAS290-QES-11920-1-20231		UOML					01/01/2000	01/01/2100																	c12026989			
AAS390-J-11734-1-20231	20231 - AAS390-J - Special Topics (Spring 2023)	AAS390-J-11734-1-20231		UOML					01/01/2000	01/01/2100																	c12030114			
AAS390-N-11877-1-20231	20231 - AAS390-N - Special Topics (Spring 2023)	AAS390-N-11877-1-20231		UOML					01/01/2000	01/01/2100																	c00463352			
AAS390-O-11878-1-20231	20231 - AAS390-O - Special Topics (Spring 2023)	AAS390-O-11878-1-20231		UOML					01/01/2000	01/01/2100																	c00463352			
AAS390-T-12565-1-20231	20231 - AAS390-T - Special Topics (Spring 2023)	AAS390-T-12565-1-20231		UOML					01/01/2000	01/01/2100																	c00425841			
AAS490-HJ-13027-1-20231	20231 - AAS490/CCA 494/CCA 795/COM 609-HJ - MERGED - Senior Seminar in Africana Studies (Spring 2023)	AAS490-HJ-13027-1-20231		UOML					01/01/2000	01/01/2100																	c03099405			
AAS490-P-11211-1-20231	20231 - AAS490-P - Senior Seminar in Africana Studies (Spring 2023)	AAS490-P-11211-1-20231		UOML					01/01/2000	01/01/2100																	c05031159			
AAS590-40-13028-1-20231	20231 - AAS590-40 - Advanced Topics in Africana Studies (Spring 2023)	AAS590-40-13028-1-20231		UOML					01/01/2000	01/01/2100																	c11964155			
ACC211-A-11035-1-20231	20231 - ACC211-A/B/C/D/E/F/G - MERGED - Principles of Financial Accounting (Spring 2023)	ACC211-A-11035-1-20231		UOML					01/01/2000	01/01/2100																	c00541847			
