COURSE_CODE	COURSE_TITLE	SECTION_ID	ACAD_DEPT	PROC_DEPT	TERM1	TERM2	TERM3	TERM4	START_DATE	END_DATE	NUM_OF_PARTICIPANTS	WEEKLY_HOURS	YEAR	SEARCH_ID1	SEARCH_ID2	SEARCH_ID3	INSTR1	INSTR2	INSTR3	INSTR4	INSTR5	INSTR6	INSTR7	INSTR8	INTSR9	INSTR10	ALL_INSTRUCTORS	OPERATION	OLD_COURSE_CODE	OLD_COURSE_SECTION
ACC211-T1-03464-1-20238	20238 - ACC211-T1 - Principles of Financial Accounting (Fall 2023)	ACC211-T1-03464-1-20238		UOML					01/01/2000	01/01/2100																	c23758334			
ACC211-T2-03465-1-20238	20238 - ACC211-T2 - Principles of Financial Accounting (Fall 2023)	ACC211-T2-03465-1-20238		UOML					01/01/2000	01/01/2100																	c00677794			
ACC211-U-03466-1-20238	20238 - ACC211-U - Principles of Financial Accounting (Fall 2023)	ACC211-U-03466-1-20238		UOML					01/01/2000	01/01/2100																	c23758334			
ACC212-5K-03471-1-20238	20238 - ACC212-5K - Managerial Accounting (Fall 2023)	ACC212-5K-03471-1-20238		UOML					01/01/2000	01/01/2100																	c04621959			
ACC212-B24-01541-5W2-20235	20235 - ACC212-B24 - Managerial Accounting (Summer 2023)	ACC212-B24-01541-5W2-20235		UOML					01/01/2000	01/01/2100																	c04621959			
ACC212-D-03468-1-20238	20238 - ACC212-D - Managerial Accounting (Fall 2023)	ACC212-D-03468-1-20238		UOML					01/01/2000	01/01/2100																	c00677794			
ACC212-E-03469-1-20238	20238 - ACC212-E - Managerial Accounting (Fall 2023)	ACC212-E-03469-1-20238		UOML					01/01/2000	01/01/2100																	c00677794			
ACC212-F-03470-1-20238	20238 - ACC212-F - Managerial Accounting (Fall 2023)	ACC212-F-03470-1-20238		UOML					01/01/2000	01/01/2100																	c04621959			
ACC212-J-14283-1-20238	20238 - ACC212-J - Managerial Accounting (Fall 2023)	ACC212-J-14283-1-20238		UOML					01/01/2000	01/01/2100																	c04621959			
ACC212-P-03472-1-20238	20238 - ACC212-P - Managerial Accounting (Fall 2023)	ACC212-P-03472-1-20238		UOML					01/01/2000	01/01/2100																	c04621959			
ACC311-N-17359-1-20238	20238 - ACC311-N - Intermediate Accounting I (Fall 2023)	ACC311-N-17359-1-20238		UOML					01/01/2000	01/01/2100																	c23740120			
ACC311-O-03473-1-20238	20238 - ACC311-O, Q & R - MERGED Intermediate Accounting I (Fall 2023)	ACC311-O-03473-1-20238		UOML					01/01/2000	01/01/2100																	c11912333,c23740120			
ACC311-Q-03475-1-20238	20238 - ACC311-Q - Intermediate Accounting I (Fall 2023)	ACC311-Q-03475-1-20238		UOML					01/01/2000	01/01/2100																	c11912333			
ACC311-R-03476-1-20238	20238 - ACC311-R - Intermediate Accounting I (Fall 2023)	ACC311-R-03476-1-20238		UOML					01/01/2000	01/01/2100																	c11912333			
ACC403-S-03477-1-20238	20238 - ACC403-S - Fundamentals of Taxation (Fall 2023)	ACC403-S-03477-1-20238		UOML					01/01/2000	01/01/2100																	c04621959			
ACC403-T-03479-1-20238	20238 - ACC403-T - Fundamentals of Taxation (Fall 2023)	ACC403-T-03479-1-20238		UOML					01/01/2000	01/01/2100																	c04621959			
ACC403-U-17370-1-20238	20238 - ACC403-U - Fundamentals of Taxation (Fall 2023)	ACC403-U-17370-1-20238		UOML					01/01/2000	01/01/2100																	c04621959			
ACC496-35-17217-7W1-20238	20238 - ACC496-35 - Directed Studies in Accounting (Fall 2023)	ACC496-35-17217-7W1-20238		UOML					01/01/2000	01/01/2100																	c05565774,c00288679			
ACC496-37-17218-7W1-20238	20238 - ACC496-37 - Directed Studies in Accounting (Fall 2023)	ACC496-37-17218-7W1-20238		UOML					01/01/2000	01/01/2100																	c05565774,c00288679			
ACC496-52-17243-7W1-20238	20238 - ACC496-52 - Directed Studies in Accounting (Fall 2023)	ACC496-52-17243-7W1-20238		UOML					01/01/2000	01/01/2100																	c10602181,c05565774			
ACC496-55-17244-7W1-20238	20238 - ACC496-55 - Directed Studies in Accounting (Fall 2023)	ACC496-55-17244-7W1-20238		UOML					01/01/2000	01/01/2100																	c10602181,c05565774			
ACC496-633-02525-12D-20235	20235 - ACC496-633 - Directed Studies in Accounting (Summer 2023)	ACC496-633-02525-12D-20235		UOML					01/01/2000	01/01/2100																	c00430102			
ACC496-634-02471-12D-20235	20235 - ACC496-634 - Directed Studies in Accounting (Summer 2023)	ACC496-634-02471-12D-20235		UOML					01/01/2000	01/01/2100																	c00677794			
ACC496-635-02526-5W2-20235	20235 - ACC496-635 - Directed Studies in Accounting (Summer 2023)	ACC496-635-02526-5W2-20235		UOML					01/01/2000	01/01/2100																	c00148503			
ACC496-636-02472-5W2-20235	20235 - ACC496-636 - Directed Studies in Accounting (Summer 2023)	ACC496-636-02472-5W2-20235		UOML					01/01/2000	01/01/2100																	c00660782			
ACC600-22M-01495-UO2-20235	20235 - ACC600-22M - Accounting for Decision-Making and Control (Summer 2023)	ACC600-22M-01495-UO2-20235		UOML					01/01/2000	01/01/2100																	c10602181,c09991756			
ACC600-22M-15082-UO2-20238	20238 - ACC600-22M - Accounting for Decision-Making and Control (Fall 2023)	ACC600-22M-15082-UO2-20238		UOML					01/01/2000	01/01/2100																	c10602181			
ACC600-23M-02178-UO2-20235	20235 - ACC600-23M - Accounting for Decision-Making and Control (Summer 2023)	ACC600-23M-02178-UO2-20235		UOML					01/01/2000	01/01/2100																	c09991756			
ACC600-23M-15083-UO2-20238	20238 - ACC600-23M - Accounting for Decision-Making and Control (Fall 2023)	ACC600-23M-15083-UO2-20238		UOML					01/01/2000	01/01/2100																	c23742440			
ACC600-25-14906-7W1-20238	20238 - ACC600-25 - Accounting for Decision-Making and Control (Fall 2023)	ACC600-25-14906-7W1-20238		UOML					01/01/2000	01/01/2100																	c23742440			
ACC600-35-17961-7W1-20238	20238 - ACC600-35 - Accounting for Decision-Making and Control (Fall 2023)	ACC600-35-17961-7W1-20238		UOML					01/01/2000	01/01/2100																	c05565774			
ACC600-37-14907-7W1-20238	20238 - ACC600-37 - Accounting for Decision-Making and Control (Fall 2023)	ACC600-37-14907-7W1-20238		UOML					01/01/2000	01/01/2100																	c00430102			
ACC600-50-14917-7W2-20238	20238 - ACC600-50 - Accounting for Decision-Making and Control (Fall 2023)	ACC600-50-14917-7W2-20238		UOML					01/01/2000	01/01/2100																	c00430102			
